Time,Freq_T,Freq_M,Temp_C,Uncomp_thick_nm,Comp_thick_nm
1773131906,6574924.064453125,5985158.1484375,23.299797770841696,0.0,9.072073329342239e-05
1773131906,6574924.1201171875,5985158.1455078125,23.299476889487217,-0.00028023487718089994,-4.556427637056193e-05
1773131907,6574924.1513671875,5985158.1396484375,23.299271515259395,-0.0008407046315426998,-0.0005139007015040784
1773131907,6574924.177734375,5985158.1396484375,23.299127827370704,-0.0008407046315426998,-0.0004494402029660005
1773131907,6574924.1982421875,5985158.1357421875,23.298992685671152,-0.0012143511344505664,-0.0007624598550295449
1773131908,6574924.2275390625,5985158.140625,23.29886226376183,-0.0007472930058157332,-0.00023689197899563543
1773131908,6574924.25390625,5985158.1376953125,23.2987010381959,-0.001027527882996633,-0.0004447976306577092
1773131908,6574924.279296875,5985158.1396484375,23.29857436530964,-0.0008407046315426998,-0.00020114593354674865
1773131908,6574924.314453125,5985158.1318359375,23.298336014295952,-0.001587997637358433,-0.0008415083617951367
1773131909,6574924.34375,5985158.1298828125,23.29816467076548,-0.0017748208888123662,-0.0009514618115561723
1773131909,6574924.3671875,5985158.134765625,23.29806618038455,-0.001307762760177533,-0.00044021775956186763
1773131909,6574924.3896484375,5985158.1357421875,23.297949627484062,-0.0012143511344505664,-0.0002945165901777629
1773131909,6574924.41796875,5985158.13671875,23.29780114466501,-0.0011209395087235998,-0.0001344902758965396
1773131910,6574924.443359375,5985158.1328125,23.29763939684401,-0.0014945860116314664,-0.00043557053994087465
1773131910,6574924.47265625,5985158.13671875,23.297503131075267,-0.0011209395087235998,-7.896967425115438e-07
1773131910,6574924.5078125,5985158.134765625,23.297299859430936,-0.001307762760177533,-9.641651304169002e-05
1773131910,6574924.529296875,5985158.1337890625,23.29717693723667,-0.0014011743859044998,-0.0001346796182260635
1773131911,6574924.5703125,5985158.1376953125,23.296976812707527,-0.001027527882996633,0.0003287524168589362
1773131911,6574924.5927734375,5985158.13671875,23.296848569388818,-0.0011209395087235998,0.000292877273018378
1773131911,6574924.6298828125,5985158.134765625,23.29663465619045,-0.001307762760177533,0.00020202695261222517
1773131911,6574924.6640625,5985158.140625,23.2964834761019,-0.0007472930058157332,0.0008303246381666288
1773131912,6574924.6904296875,5985158.1376953125,23.296322255304975,-0.001027527882996633,0.0006224229201725572
1773131912,6574924.7177734375,5985158.1298828125,23.296126483517206,-0.0017748208888123662,-3.7034760579483134e-05
1773131912,6574924.755859375,5985158.1328125,23.295936480345585,-0.0014945860116314664,0.00032844786426859977
1773131912,6574924.78125,5985158.13671875,23.295821503659944,-0.0011209395087235998,0.0007536806441631165
1773131913,6574924.8115234375,5985158.1298828125,23.295615614392357,-0.0017748208888123662,0.00019217556514464673
1773131913,6574924.8486328125,5985158.134765625,23.295442625748287,-0.001307762760177533,0.000736848996910737
1773131913,6574924.8818359375,5985158.1328125,23.295250002330512,-0.0014945860116314664,0.0006364511955543433
1773131914,6574924.91796875,5985158.1298828125,23.295035569007805,-0.0017748208888123662,0.00045242803434884365
1773131914,6574924.951171875,5985158.125,23.294825409007238,-0.0022418790174471995,7.966497859377354e-05
1773131914,6574924.98828125,5985158.1259765625,23.294629038701515,-0.0021484673917202325,0.0002611851172792129
1773131914,6574925.0185546875,5985158.1259765625,23.294464073263594,-0.0021484673917202325,0.00033520319274627305
1773131915,6574925.0546875,5985158.1318359375,23.294302254355614,-0.001587997637358433,0.0009682796298624012
1773131915,6574925.0869140625,5985158.123046875,23.29407403451267,-0.0024287022689011327,0.00022997588581436857
1773131915,6574925.123046875,5985158.1298828125,23.293918062171656,-0.0017748208888123662,0.0009538416030450308
1773131915,6574925.15625,5985158.1240234375,23.293702059319116,-0.002335290643174166,0.0004902923384893335
1773131916,6574925.1826171875,5985158.1259765625,23.29357007290551,-0.0021484673917202325,0.0007363382634465777
1773131916,6574925.2265625,5985158.1220703125,23.293307227239808,-0.0025221138946280993,0.0004806321687752185
1773131916,6574925.2578125,5985158.119140625,23.293119405949422,-0.0028023487718089996,0.0002846744881574723
1773131916,6574925.298828125,5985158.1259765625,23.292936828664843,-0.0021484673917202325,0.0010204805650968279
1773131917,6574925.3330078125,5985158.126953125,23.292756427010893,-0.002055055765993266,0.0011948411736764691
1773131917,6574925.369140625,5985158.1240234375,23.29254200033702,-0.002335290643174166,0.0010108234968626063
1773131917,6574925.41015625,5985158.119140625,23.292289276310484,-0.0028023487718089996,0.0006571682313873317
1773131917,6574925.447265625,5985158.123046875,23.292110449164824,-0.0024287022689011327,0.0011110590428518806
1773131918,6574925.4912109375,5985158.115234375,23.291824225723783,-0.003175995274716866,0.0004922028608748011
1773131918,6574925.53125,5985158.1220703125,23.291646972653297,-0.0025221138946280993,0.0012256235250340212
1773131918,6574925.57421875,5985158.1201171875,23.29140114573305,-0.002708937146082033,0.0011491117235644746
1773131919,6574925.6064453125,5985158.1142578125,23.291190470884136,-0.003269406900443833,0.0006831801721164497
1773131919,6574925.6533203125,5985158.111328125,23.29091751488257,-0.0035496417776247325,0.0005254325791111099
1773131919,6574925.697265625,5985158.1083984375,23.290660523437154,-0.0038298766548056327,0.0003605220706618442
1773131919,6574925.728515625,5985158.10546875,23.290472708328014,-0.004110111531986532,0.00016456948884069981
1773131920,6574925.775390625,5985158.107421875,23.290228982355654,-0.0039232882805325985,0.00046076594731340195
1773131920,6574925.8212890625,5985158.109375,23.289990578286023,-0.003736465029078666,0.0007545750864210218
1773131920,6574925.8564453125,5985158.107421875,23.28978732562425,-0.0039232882805325985,0.0006589639352457023
