Timestamp(ms) PLC_PRG.EvaporatorSystem.PowerSupply.current_reading_out PLC_PRG.EvaporatorSystem.PowerSupply.voltage_setpoint_out PLC_PRG.EvaporatorSystem.PowerSupply.voltage_reading_out GVL_OPCUA.out.deposited_thickness GVL_QCM.READ.CompensatedThickness GVL_QCM.READ.UncompensatedThickness GVL_QCM.READ.Temperature 
991 0 0 0 0.095455296337604523 0.051766335964202881 0.07776409387588501 23.041305541992188
1984 0 0 0 0.095455296337604523 0.051729436963796616 0.07789456844329834 23.041349411010742
2968 0 0 0 0.095455296337604523 0.05130545049905777 0.077503137290477753 23.041400909423828
3965 0 0 0 0.095455296337604523 0.051658995449543 0.07789456844329834 23.041460037231445
4954 0 0 0 0.095455296337604523 0.051388636231422424 0.077633611857891083 23.041501998901367
5944 0 0 0 0.095455296337604523 0.051868975162506104 0.078155517578125 23.041540145874023
6937 0 0 0 0.095455296337604523 0.051444984972476959 0.07776409387588501 23.041591644287109
7933 0 0 0 0.095455296337604523 0.051538236439228058 0.07789456844329834 23.041650772094727
8915 0 0 0 0.095455296337604523 0.052035346627235413 0.078416474163532257 23.041690826416016
9905 0 0 0 0.095455296337604523 0.052252035588026047 0.078677430748939514 23.041759490966797
10899 0 0 0 0.095455296337604523 0.051461085677146912 0.07789456844329834 23.04179573059082
11889 0 0 0 0.095455296337604523 0.052205074578523636 0.078677430748939514 23.041833877563477
12883 0 0 0 0.095455296337604523 0.052572034299373627 0.0790688544511795 23.041873931884766
13874 0 0 0 0.095455296337604523 0.05230167880654335 0.078807905316352844 23.041887283325195
14869 0 0 0 0.095455296337604523 0.052137985825538635 0.078677430748939514 23.041940689086914
15859 0 0 0 0.095455296337604523 0.052368093281984329 0.078938379883766174 23.041988372802734
16853 0 0 0 0.095455296337604523 0.05297522246837616 0.079590767621994019 23.042060852050781
17842 0 0 0 0.095455296337604523 0.052307713776826859 0.078938379883766174 23.042085647583008
18834 0 0 0 0.095455296337604523 0.053178496658802032 0.079851716756820679 23.042152404785156
19827 0 0 0 0.095455296337604523 0.052010521292686462 0.078677430748939514 23.042142868041992
20822 0 0 0 0.095455296337604523 0.053251620382070541 0.079982191324234009 23.0422420501709
21810 0 0 0 0.095455296337604523 0.053218074142932892 0.079982191324234009 23.042295455932617
22800 0 0 0 0.095455296337604523 0.052694130688905716 0.079460285604000092 23.042299270629883
23790 0 0 0 0.095455296337604523 0.05291081964969635 0.079199336469173431 23.04234504699707
24780 0 0 0 0.095455296337604523 0.052873920649290085 0.079721242189407349 23.042427062988281
25773 0 0 0 0.095455296337604523 0.052213121205568314 0.0790688544511795 23.042440414428711
26763 0 0 0 0.095455296337604523 0.052559956908226013 0.079460285604000092 23.042510986328125
27753 0 0 0 0.095455296337604523 0.053167089819908142 0.080112673342227936 23.042583465576172
28743 0 0 0 0.095455296337604523 0.053273756057024 0.080243147909641266 23.042619705200195
29729 0 0 0 0.095455296337604523 0.053513925522565842 0.080504104495048523 23.04266357421875
30724 0 0 0 0.095455296337604523 0.052836351096630096 0.079851716756820679 23.042694091796875
31716 0 0 0 0.095455296337604523 0.05408751592040062 0.08115648478269577 23.042778015136719
32707 0 0 0 0.095455296337604523 0.053950659930706024 0.08102601021528244 23.042787551879883
33698 0 0 0 0.095455296337604523 0.053676947951316833 0.080112673342227936 23.042789459228516
34689 0 0 0 0.095455296337604523 0.054033845663070679 0.08115648478269577 23.042861938476563
35682 0 0 0 0.095455296337604523 0.052972540259361267 0.080112673342227936 23.042890548706055
36677 0 0 0 0.095455296337604523 0.053589735180139542 0.080765053629875183 23.042945861816406
37668 0 0 0 0.095455296337604523 0.052928932011127472 0.080112673342227936 23.042959213256836
38660 0 0 0 0.095455296337604523 0.053549483418464661 0.080765053629875183 23.043071746826172
